İlan no,Marka,Model,Seri,Fiyat,Model Yılı,Kasa Tipi,Vites Tipi,Renk,Garanti,İlan Tarihi,Kilometre,Yakıt Tipi,Kapı Sayısı
330231,Acura,CL,3.2 Type-S,1700000,2003,Sedan,Manuel,Bordo,Hayır,20/11/2016,199200,Benzin,4
320646,Alfa Romeo,145,1.6,13250,1996,Hatchback,Manuel,Gri,Hayır,30/08/2016,195000,Benzin,3
309583,Alfa Romeo,145,1.7 16V,11500,1995,Hatchback,Manuel,Metalik gri,Hayır,21/08/2016,238000,Benzin + LPG,3
303252,Alfa Romeo,145,1.6 TS Sportivo,17750,2001,Hatchback,Manuel,Lacivert,Hayır,16/06/2016,168000,Benzin + LPG,3
272608,Alfa Romeo,145,1.7 16V,11500,1996,Hatchback,Manuel,Siyah,Hayır,13/03/2016,235400,Benzin,3
229282,Alfa Romeo,145,1.4 TS STD.,11500,1998,Hatchback,Manuel,Siyah,Hayır,25/03/2015,139400,Benzin,3
215668,Alfa Romeo,145,1.4 TS STD.,10000,1998,Hatchback,Manuel,Siyah,Hayır,01/12/2014,147000,Benzin + LPG,3
183392,Alfa Romeo,145,1.4 TS STD.,12250,1999,Hatchback,Manuel,Krmz,Hayır,03/01/2014,120000,Benzin,3
326112,Alfa Romeo,145,1.6 TS L,14000,2000,Hatchback,Manuel,Gri,Hayır,17/10/2016,192000,Benzin,3
328612,Alfa Romeo,146,1.6 L,13850,1996,Hatchback,Manuel,Beyaz,Hayır,06/11/2016,194000,Benzin,5
323283,Alfa Romeo,146,1.4 TS STD.,11000,1998,Hatchback,Manuel,Siyah,Hayır,27/09/2016,265000,Benzin,5
291520,Alfa Romeo,146,1.6 L,14000,1996,Hatchback,Manuel,Bordo,Hayır,02/06/2016,198000,Benzin + LPG,5
233356,Alfa Romeo,146,1.4 TS STD.,12500,1998,Hatchback,Manuel,Beyaz,Hayır,30/04/2015,178000,Benzin,5
230707,Alfa Romeo,146,1.6 L,13000,1997,Hatchback,Manuel,Bordo,Hayır,07/04/2015,262800,Benzin + LPG,5
332404,Alfa Romeo,147,1.6 T. Spark Progression,25500,2004,Hatchback,Manuel,Krmz,Hayır,09/12/2016,141000,Benzin,5
326809,Alfa Romeo,147,1.6 T. Spark Progression,28500,2006,Hatchback,Manuel,Bej,Hayır,23/10/2016,136000,Benzin,5
323365,Alfa Romeo,147,1.6 T. Spark Distinctive,22750,2005,Hatchback,Manuel,Krmz,Hayır,27/09/2016,167000,Benzin + LPG,3
322221,Alfa Romeo,147,1.6 T. Spark Progression,25000,2004,Hatchback,Manuel,Siyah,Hayır,18/09/2016,178000,Benzin + LPG,5
320230,Alfa Romeo,147,1.6 T. Spark Collezione,27000,2006,Hatchback,Manuel,Gri,Hayır,26/08/2016,90000,Benzin,5
306091,Alfa Romeo,147,1.6 T. Spark Progression,29800,2008,Hatchback,Manuel,Gri,Hayır,18/07/2016,83000,Benzin,5
